                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8332,                 16.346,                 4.2998,                      0,                      0,                      0,                      0,                 6.1905,                 14.782,                 4.1745,                 0.0003,                 0.0003,                 0.0003
                      2,                 4.7289,                 10.191,                 3.9241,                      0,                      0,                      0,                      0,                 6.2054,                 14.764,                 4.2329,             0.00061386,             0.00061386,             0.00061386
                      3,                 4.0342,                 6.9258,                 3.2194,                      0,                      0,                      0,                      0,                 6.2349,                 13.209,                 4.3654,             0.00092139,             0.00092139,             0.00092139
                      4,                 3.6133,                 4.8834,                 2.7054,                      0,                      0,                      0,                      0,                  6.277,                 11.226,                 4.6452,              0.0012226,              0.0012226,              0.0012226
                      5,                  3.283,                 3.7498,                  2.338,                      0,                      0,                      0,                      0,                 6.2358,                 10.852,                 4.4738,              0.0015174,              0.0015174,              0.0015174
                      6,                 2.9726,                 3.2637,                 2.2089,                      0,                      0,                      0,                      0,                 5.9591,                 10.243,                 3.9529,               0.001806,               0.001806,               0.001806
                      7,                 2.7337,                   2.83,                 2.1023,                 0.2227,                0.01103,                0.04031,                0.01059,                 3.3459,                 5.3275,                  2.874,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.613,                 2.4709,                 2.0238,                0.46575,                0.33088,                0.31448,                0.09104,                 2.6486,                 2.9783,                 2.2516,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.5996,                 2.3928,                 1.9519,                0.56279,                0.52206,                0.51704,                0.20127,                 2.2019,                 2.2682,                 1.9914,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.406,                 2.1375,                 1.8517,                0.73339,                0.61691,                0.69622,                0.27126,                 2.2283,                 1.9847,                 1.9061,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2948,                 1.9143,                 1.7569,                0.14015,                0.26471,                0.10965,                 0.0273,                 3.0395,                 32.817,                 2.3951,               0.001802,               0.001802,               0.001802
                     12,                 2.1301,                 1.7388,                 1.6684,                0.58796,                0.72794,                0.67547,                0.25597,                 1.9811,                 2.1965,                 1.7063,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.1323,                 1.6916,                  1.683,                0.72948,                0.75345,                0.77238,                0.31458,                 1.8734,                 1.8095,                 1.6567,              0.0017624,              0.0017624,              0.0017624
